TweetId,Timestamp,Source,Text,Name,Stage,Gender,RetweetCount,FavoriteCount,ImgNum,Rating,RatingCategory,Breed,Confidence,TweetDay
892177421306343426,2017-08-01,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",Tilly,Not Identified,F,5265.0,29194.0,1.0,1.3,High,Chihuahua,0.323581,Tue
891815181378084864,2017-07-31,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,Archie,Not Identified,M,3463.0,21955.0,1.0,1.2,Above Average,Chihuahua,0.716012,Mon
891689557279858688,2017-07-30,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,Darla,Not Identified,F,7183.0,36744.0,1.0,1.3,High,Labrador_retriever,0.1680859999999999,Sun
891327558926688256,2017-07-29,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",Franklin,Not Identified,M,7707.0,35103.0,2.0,1.2,Above Average,basset,0.555712,Sat
891087950875897856,2017-07-29,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,none,Not Identified,M,2583.0,17724.0,1.0,1.3,High,Chesapeake_Bay_retriever,0.425595,Sat
890971913173991426,2017-07-28,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",Jax,Not Identified,M,1644.0,10319.0,1.0,1.3,High,Appenzeller,0.341703,Fri
890729181411237888,2017-07-28,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,none,Not Identified,,15664.0,56599.0,2.0,1.3,High,Pomeranian,0.566142,Fri
890609185150312448,2017-07-27,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,Zoey,Not Identified,F,3599.0,24386.0,1.0,1.3,High,Irish_terrier,0.4875739999999999,Thu
890240255349198849,2017-07-26,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Cassie,doggo,F,6059.0,27819.0,1.0,1.4,High,Pembroke,0.511319,Wed
890006608113172480,2017-07-26,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,Koda,Not Identified,M,6105.0,26909.0,1.0,1.3,High,Samoyed,0.957979,Wed
